Agent,Sharpe,CI Lower,CI Upper
PPO,0.952021878543661,-0.467747825968606,2.4608359154864647
A2C,0.9159912324686191,-0.48568992508614106,2.3446314963862736
LLM (openai/gpt-oss-120b),0.8083590762193525,-0.6369442024473331,2.213944451526569
Buy & Hold,1.0858888268523612,-0.3180194318807203,2.5865000093715036
Equal Weight,1.1238279591472522,-0.19461287690564522,2.581183072827253
DJIA Index,0.9460237138426371,-0.38485582027815174,2.4351661238663476
